author_id;label;first_name;last_name;institutes;publications
0097df87-10d2-401b-8cd1-448d596b5cf6;Horst Reiger;Horst;Reiger;General Sociology and Economic Sociology;72
0097df87-10d2-401b-8cd1-448d596b5cf6;Horst Reiger;Horst;Reiger;Soziologie und Empirische Sozialforschung (Titscher);72
0097df87-10d2-401b-8cd1-448d596b5cf6;Horst Reiger;Horst;Reiger;Mathematical Methods in Statistics;72
0097df87-10d2-401b-8cd1-448d596b5cf6;Horst Reiger;Horst;Reiger;Institute for Sociology and Social Research;72
0097df87-10d2-401b-8cd1-448d596b5cf6;Horst Reiger;Horst;Reiger;Institute for Managing Sustainability;72
0097df87-10d2-401b-8cd1-448d596b5cf6;Horst Reiger;Horst;Reiger;Institute for Retailing & Data Science;72
0097df87-10d2-401b-8cd1-448d596b5cf6;Horst Reiger;Horst;Reiger;Department of Socioeconomics;72
0097df87-10d2-401b-8cd1-448d596b5cf6;Horst Reiger;Horst;Reiger;Institute for Change Management and Management Development;72
009d4542-d5ab-4fa1-bb9f-5f916b30da4e;Petra Wächter;Petra;Wächter;Institute for Spatial and Social-Ecological Transformations (Novy);7
009d4542-d5ab-4fa1-bb9f-5f916b30da4e;Petra Wächter;Petra;Wächter;Vienna University of Economics and Business;7
009d4542-d5ab-4fa1-bb9f-5f916b30da4e;Petra Wächter;Petra;Wächter;NA;7
00b750a8-b16f-4d4d-b2e0-3d3e8cfbc885;Michaela Pelinka;Michaela;Pelinka;Civil Law and Civil Procedure Group V (Civil, Business and Insolvency Law);1
00b750a8-b16f-4d4d-b2e0-3d3e8cfbc885;Michaela Pelinka;Michaela;Pelinka;Civil Law and Civil Procedure Group I;1
00b8e970-9028-44ca-8423-9ec59fd5dc7f;Thomas Rauter;Thomas;Rauter;Institute for Finance, Banking and Insurance;6
00b8e970-9028-44ca-8423-9ec59fd5dc7f;Thomas Rauter;Thomas;Rauter;Institute for Financial Research;6
00b8e970-9028-44ca-8423-9ec59fd5dc7f;Thomas Rauter;Thomas;Rauter;Finance, Accounting and Statistics;6
00bf182c-c7b7-46dc-8d0d-dff59c52ea98;Georg Dorffner;Georg;Dorffner;Institute for Finance, Banking and Insurance;29
00bf182c-c7b7-46dc-8d0d-dff59c52ea98;Georg Dorffner;Georg;Dorffner;Institute for Statistics and Mathematics;29
00bf182c-c7b7-46dc-8d0d-dff59c52ea98;Georg Dorffner;Georg;Dorffner;Institute for Data, Process and Knowledge Management;29
00bf182c-c7b7-46dc-8d0d-dff59c52ea98;Georg Dorffner;Georg;Dorffner;Institute for Production Management (Taudes);29
00bf182c-c7b7-46dc-8d0d-dff59c52ea98;Georg Dorffner;Georg;Dorffner;Institute for Marketing and Customer Analytics;29
00bf182c-c7b7-46dc-8d0d-dff59c52ea98;Georg Dorffner;Georg;Dorffner;Institute for Data, Process and Knowledge Management (AE Polleres);29
00bf182c-c7b7-46dc-8d0d-dff59c52ea98;Georg Dorffner;Georg;Dorffner;Research Institute for Computational Methods;29
00cb1211-36dd-47e0-a004-a99259c3ed54;Elisabeth Springler;Elisabeth;Springler;Department of Economics (Crespo Cuaresma);51
00cb1211-36dd-47e0-a004-a99259c3ed54;Elisabeth Springler;Elisabeth;Springler;Economics 1/Public Sector and Monetary Policy;51
00cb1211-36dd-47e0-a004-a99259c3ed54;Elisabeth Springler;Elisabeth;Springler;Department of Economics (Schmidpeter);51
00cb1211-36dd-47e0-a004-a99259c3ed54;Elisabeth Springler;Elisabeth;Springler;Department of Economics (Becker);51
00cb1211-36dd-47e0-a004-a99259c3ed54;Elisabeth Springler;Elisabeth;Springler;Institute for Sociology and Social Research;51
00e8ab17-bdec-4376-b2d1-20b48b5db3f0;Carlotta Verita;Carlotta;Verita;Institute for Spatial and Social-Ecological Transformations (Novy);1
0106ef28-787a-4eea-a400-116723df72c0;Yochanan Altman;Yochanan;Altman;Interdisciplinary Institute for Management and Organizational Behavior;11
0106ef28-787a-4eea-a400-116723df72c0;Yochanan Altman;Yochanan;Altman;Institute for Human Resource Management;11
0106ef28-787a-4eea-a400-116723df72c0;Yochanan Altman;Yochanan;Altman;NA;11
01175402-c6b2-443f-bd0d-518852e73b66;Davor Svetinovic;Davor;Svetinovic;Information Systems and Operations Management;69
01175402-c6b2-443f-bd0d-518852e73b66;Davor Svetinovic;Davor;Svetinovic;Vienna University of Economics and Business;69
01175402-c6b2-443f-bd0d-518852e73b66;Davor Svetinovic;Davor;Svetinovic;Institute for Distributed Ledgers and Token Economy;69
01175402-c6b2-443f-bd0d-518852e73b66;Davor Svetinovic;Davor;Svetinovic;Research Institute for Cryptoeconomics;69
01175402-c6b2-443f-bd0d-518852e73b66;Davor Svetinovic;Davor;Svetinovic;NA;69
01175402-c6b2-443f-bd0d-518852e73b66;Davor Svetinovic;Davor;Svetinovic;Institute for Digital Ecosystems;69
01175402-c6b2-443f-bd0d-518852e73b66;Davor Svetinovic;Davor;Svetinovic;Competence Center for Experimental Research;69
01175402-c6b2-443f-bd0d-518852e73b66;Davor Svetinovic;Davor;Svetinovic;Institute for Production Management (Taudes);69
01176f24-d63c-404c-a455-fe3e973d40fa;Felix Butzlaff;Felix;Butzlaff;Institute for Social Change and Sustainability;40
01176f24-d63c-404c-a455-fe3e973d40fa;Felix Butzlaff;Felix;Butzlaff;Vienna University of Economics and Business;40
011cc58f-6b5c-4629-acf0-53b03a39299d;Angelika Striedinger;Angelika;Striedinger;Institute for Sociology and Social Research;10
011cc58f-6b5c-4629-acf0-53b03a39299d;Angelika Striedinger;Angelika;Striedinger;Economics of Inequality;10
011cc58f-6b5c-4629-acf0-53b03a39299d;Angelika Striedinger;Angelika;Striedinger;Competence Center for Sustainability Transformation and Responsibility;10
011cc58f-6b5c-4629-acf0-53b03a39299d;Angelika Striedinger;Angelika;Striedinger;Department of Socioeconomics;10
012ccc9a-f144-466a-8aa8-db0be805d08a;Christian Bruck;Christian;Bruck;Institute for Strategic Management;1
0150455f-753b-4ab3-84e3-8512251c1d41;Theresa Dorer;Theresa;Dorer;Institute for Austrian and European Labor Law and Social Security Law (Kietaibl);1
0153647f-2f50-4f9e-8fa8-6f6bc6cb6b01;CongCong YANG;CongCong;YANG;Information Systems and Operations Management;1
0153647f-2f50-4f9e-8fa8-6f6bc6cb6b01;CongCong YANG;CongCong;YANG;Institute for Production Management (Taudes);1
0153647f-2f50-4f9e-8fa8-6f6bc6cb6b01;CongCong YANG;CongCong;YANG;Research Institute for Supply Chain Management;1
0153647f-2f50-4f9e-8fa8-6f6bc6cb6b01;Congcong Yang;Congcong;Yang;Institute for Production Management (Taudes);2
0153647f-2f50-4f9e-8fa8-6f6bc6cb6b01;Congcong Yang;Congcong;Yang;Research Institute for Supply Chain Management;2
0153647f-2f50-4f9e-8fa8-6f6bc6cb6b01;Congcong Yang;Congcong;Yang;Institute for Complex Networks;2
015627e9-cdd1-4c03-89e0-13bbd956f0e6;Julia de Jong;Julia;de Jong;Institute for Austrian and International Tax Law;4
015db96c-6626-40f3-82b1-11c2bf997f8b;Gerald Eisenhut;Gerald;Eisenhut;Management Accounting and Control Group;1
01625f89-048f-4b7b-9ac5-dacc3cab10f2;Johannes Leitner;Johannes;Leitner;Institute for Nonprofit Management and Governance;18
01625f89-048f-4b7b-9ac5-dacc3cab10f2;Johannes Leitner;Johannes;Leitner;Competence Center for Nonprofit Organizations and Social Entrepreneurship;18
01625f89-048f-4b7b-9ac5-dacc3cab10f2;Johannes Leitner;Johannes;Leitner;WU Entrepreneurship Center;18
016e5f34-623a-431e-91dc-8d1798dc03d1;Ursula Trummer;Ursula;Trummer;Institute for Spatial and Social-Ecological Transformations (Essletzbichler);1
0170a4ee-93cb-440a-b22a-5ea4a18b2819;Sonja Bydlinski;Sonja;Bydlinski;Civil Law and Civil Procedure Group V (Civil, Business and Insolvency Law);2
0170a4ee-93cb-440a-b22a-5ea4a18b2819;Sonja Bydlinski;Sonja;Bydlinski;Civil Law and Civil Procedure Group I;2
0173a1e9-ac5f-47c3-acd2-aad4bf28f091;Norbert Wess;Norbert;Wess;Institute for Austrian and European Economic Criminal Law;6
0173a1e9-ac5f-47c3-acd2-aad4bf28f091;Norbert Wess;Norbert;Wess;Civil Law and Civil Procedure Group I;6
0173a1e9-ac5f-47c3-acd2-aad4bf28f091;Norbert Wess;Norbert;Wess;Research Institute for CEE Legal Studies;6
0173a1e9-ac5f-47c3-acd2-aad4bf28f091;Norbert Wess;Norbert;Wess;Competition Law Group;6
01978d8d-2ea5-476b-abf5-91b5dd570b7d;Philip Nowak;Philip;Nowak;Financial Accounting and Auditing Group;2
01994978-5706-416c-82cc-0c9e0ed3ecde;Bianca Gusenbauer;Bianca;Gusenbauer;Institute for International Business (Zapkau);5
01994978-5706-416c-82cc-0c9e0ed3ecde;Bianca Gusenbauer;Bianca;Gusenbauer;Institute for Human Resource Management;5
01994978-5706-416c-82cc-0c9e0ed3ecde;Bianca Gusenbauer;Bianca;Gusenbauer;Institute for Nonprofit Management and Governance;5
01994978-5706-416c-82cc-0c9e0ed3ecde;Bianca Gusenbauer;Bianca;Gusenbauer;Institute for Austrian and European Labor Law and Social Security Law (Kietaibl);5
01caacbb-ad8c-4ab2-8646-b6b1ee89c5be;Lukas Richter;Lukas;Richter;Department of Economics (Badinger);53
01caacbb-ad8c-4ab2-8646-b6b1ee89c5be;Lukas Richter;Lukas;Richter;NA;53
01caacbb-ad8c-4ab2-8646-b6b1ee89c5be;Lukas Richter;Lukas;Richter;Institute for Sociology and Social Research;53
01caacbb-ad8c-4ab2-8646-b6b1ee89c5be;Lukas Richter;Lukas;Richter;Competence Center for Empirical Research Methods;53
01caacbb-ad8c-4ab2-8646-b6b1ee89c5be;Lukas Richter;Lukas;Richter;Vienna University of Economics and Business;53
01caacbb-ad8c-4ab2-8646-b6b1ee89c5be;Lukas Richter;Lukas;Richter;Institute for Transport and Logistics Management;53
01d1bbbe-b3f6-421b-b877-d8d2a60db160;Andrea Weber;Andrea;Weber;NA;43
01d1bbbe-b3f6-421b-b877-d8d2a60db160;Andrea Weber;Andrea;Weber;Vienna University of Economics and Business;43
01d1bbbe-b3f6-421b-b877-d8d2a60db160;Andrea Weber;Andrea;Weber;Institute for Statistics and Mathematics;43
01d1bbbe-b3f6-421b-b877-d8d2a60db160;Andrea Weber;Andrea;Weber;Department of Economics (Kartal);43
01e6db79-a39c-4c0b-b297-ab20c64afa92;Marion Kaukal;Marion;Kaukal;Information Technology in Business;9
01e6db79-a39c-4c0b-b297-ab20c64afa92;Marion Kaukal;Marion;Kaukal;Wirtschaftsinformatik und Neue Medien (Neumann);9
01e6db79-a39c-4c0b-b297-ab20c64afa92;Marion Kaukal;Marion;Kaukal;Vienna University of Economics and Business;9
01e6db79-a39c-4c0b-b297-ab20c64afa92;Marion Kaukal;Marion;Kaukal;Institute for Complex Networks;9
01f5c080-8b93-46e9-a6cd-c91ead2360d4;Vinzenz Treytl;Vinzenz;Treytl;Institute for Entrepreneurship and Innovation;5
01f5c080-8b93-46e9-a6cd-c91ead2360d4;Vinzenz Treytl;Vinzenz;Treytl;Institute for Small Business Management and Entrepreneurship;5
01f5c080-8b93-46e9-a6cd-c91ead2360d4;Vinzenz Treytl;Vinzenz;Treytl;Research Institute for Family Business;5
01f5c080-8b93-46e9-a6cd-c91ead2360d4;Vinzenz Treytl;Vinzenz;Treytl;Research Institute for Cryptoeconomics;5
01f5c080-8b93-46e9-a6cd-c91ead2360d4;Vinzenz Treytl;Vinzenz;Treytl;WU Entrepreneurship Center;5
01f5c080-8b93-46e9-a6cd-c91ead2360d4;Vinzenz Treytl;Vinzenz;Treytl;Institute for Strategy and Managerial Accounting (Speckbacher);5
01fb2ebb-c863-478f-a070-6685b87de485;Jelena Cerar;Jelena;Cerar;Department of Global Business and Trade;23
01fb2ebb-c863-478f-a070-6685b87de485;Jelena Cerar;Jelena;Cerar;Institute for International Business;23
01fb2ebb-c863-478f-a070-6685b87de485;Jelena Cerar;Jelena;Cerar;Institute for International Business (Nell);23
01fb2ebb-c863-478f-a070-6685b87de485;Jelena Cerar;Jelena;Cerar;Competence Center for Emerging Markets and CEE;23
01fc7414-6376-4008-a111-a573aaf20d07;Thorsten Koch;Thorsten;Koch;Institute for Organization Studies;1
0203e37c-4fe6-4836-8995-6b25b3afb495;Christina Rechberger-Bechter;Christina;Rechberger-Bechter;Austrian and European Public Law;5
0203e37c-4fe6-4836-8995-6b25b3afb495;Christina Rechberger-Bechter;Christina;Rechberger-Bechter;Austrian and European Public Law;5
0203e37c-4fe6-4836-8995-6b25b3afb495;Christina Rechberger-Bechter;Christina;Rechberger-Bechter;Vienna University of Economics and Business;5
0203e37c-4fe6-4836-8995-6b25b3afb495;Christina Rechberger-Bechter;Christina;Rechberger-Bechter;Public Law and Tax Law;5
025058aa-cfa7-4b15-8bb0-34215a36d4aa;Marie Jelenko;Marie;Jelenko;General Sociology and Economic Sociology;3
025058aa-cfa7-4b15-8bb0-34215a36d4aa;Marie Jelenko;Marie;Jelenko;Institute for Sociology and Social Research;3
025058aa-cfa7-4b15-8bb0-34215a36d4aa;Marie Jelenko;Marie;Jelenko;Competence Center for Nonprofit Organizations and Social Entrepreneurship;3
02558fca-63fb-4285-8e9d-9ad7567c8e0d;Gerhard Hammerschmid;Gerhard;Hammerschmid;Institute for Sociology and Social Research;70
02558fca-63fb-4285-8e9d-9ad7567c8e0d;Gerhard Hammerschmid;Gerhard;Hammerschmid;Institute for Organization Studies;70
02558fca-63fb-4285-8e9d-9ad7567c8e0d;Gerhard Hammerschmid;Gerhard;Hammerschmid;Institute for Public Management and Governance;70
02558fca-63fb-4285-8e9d-9ad7567c8e0d;Gerhard Hammerschmid;Gerhard;Hammerschmid;Department of Public Management;70
02558fca-63fb-4285-8e9d-9ad7567c8e0d;Gerhard Hammerschmid;Gerhard;Hammerschmid;Institute for Managing Sustainability;70
02558fca-63fb-4285-8e9d-9ad7567c8e0d;Gerhard Hammerschmid;Gerhard;Hammerschmid;Research Institute for Urban Management and Governance (Meyer);70
02558fca-63fb-4285-8e9d-9ad7567c8e0d;Gerhard Hammerschmid;Gerhard;Hammerschmid;Research Institute for Urban Management and Governance;70
02576711-0572-48e3-8312-0b31f0cd1f34;Lynn A. Keeys;Lynn A.;Keeys;Project Management Group;2
02576711-0572-48e3-8312-0b31f0cd1f34;Lynn A. Keeys;Lynn A.;Keeys;Competence Center for Sustainability Transformation and Responsibility;2
0267abaa-a083-41a5-a1f8-8379e77579ad;Angelika Zwerenz;Angelika;Zwerenz;Institute for Strategy and Managerial Accounting;1
02753ebb-0e40-4962-8820-0446d01d7205;Johanna Chouchani;Johanna;Chouchani;Institute for Romance Languages;3
027ca15b-2a9c-40bd-943e-39f11dfc0889;Moritz Zoppel;Moritz;Zoppel;Civil Law and Civil Procedure Group V (Civil, Business and Insolvency Law);37
027ca15b-2a9c-40bd-943e-39f11dfc0889;Moritz Zoppel;Moritz;Zoppel;Civil Law and Civil Procedure Group III (Financial Market Law);37
027ca15b-2a9c-40bd-943e-39f11dfc0889;Moritz Zoppel;Moritz;Zoppel;Department of Private Law;37
0282864d-1ae1-4e0b-b583-6efd7db8fdfd;Marco Huber;Marco;Huber;Institute for Strategy and Managerial Accounting (Speckbacher);1
0282864d-1ae1-4e0b-b583-6efd7db8fdfd;Marco Huber;Marco;Huber;Institute for Entrepreneurship and Innovation;1
028b6aaa-e5d7-4e41-b6a8-591012aa8b2c;Katharina Riedler;Katharina;Riedler;Austrian and European Public Law;1
028b6aaa-e5d7-4e41-b6a8-591012aa8b2c;Katharina Riener;Katharina;Riener;Institute for Austrian and European Public Law;6
028b6aaa-e5d7-4e41-b6a8-591012aa8b2c;Katharina Riener;Katharina;Riener;Austrian and European Public Law;6
028b6aaa-e5d7-4e41-b6a8-591012aa8b2c;Katharina Riener;Katharina;Riener;Austrian and European Public Law;6
028b6aaa-e5d7-4e41-b6a8-591012aa8b2c;Katharina Riener;Katharina;Riener;Austrian and European Public Law;6
02dd872a-8e67-4047-9404-c7a6e77adad3;Daniel Winkler;Daniel;Winkler;Institute for Statistics and Mathematics;8
02dd872a-8e67-4047-9404-c7a6e77adad3;Daniel Winkler;Daniel;Winkler;Institute for Retailing & Data Science;8
02dd872a-8e67-4047-9404-c7a6e77adad3;Daniel Winkler;Daniel;Winkler;Institute for Interactive Marketing and Social Media;8
02dd872a-8e67-4047-9404-c7a6e77adad3;Daniel Winkler;Daniel;Winkler;Marketing;8
02dd872a-8e67-4047-9404-c7a6e77adad3;Daniel Winkler;Daniel;Winkler;Competence Center for Experimental Research;8
030366eb-e04f-4889-b7a6-3e0f15c12a0c;Nicolas Vogelpoth;Nicolas;Vogelpoth;Vienna Institute of Finance;2
0303aa27-386e-4538-97a8-d74e94d11e8f;Daria Maca;Daria;Maca;Institute for European and International Law;1
03053e13-b750-4b30-8a14-d5216b1b331a;Rolf Eschenbach;Rolf;Eschenbach;International Accounting Group;286
03053e13-b750-4b30-8a14-d5216b1b331a;Rolf Eschenbach;Rolf;Eschenbach;Institute for Strategy and Managerial Accounting;286
03053e13-b750-4b30-8a14-d5216b1b331a;Rolf Eschenbach;Rolf;Eschenbach;Institute for Strategic Management;286
03053e13-b750-4b30-8a14-d5216b1b331a;Rolf Eschenbach;Rolf;Eschenbach;Institute for Nonprofit Management and Governance;286
03053e13-b750-4b30-8a14-d5216b1b331a;Rolf Eschenbach;Rolf;Eschenbach;Competence Center for Nonprofit Organizations and Social Entrepreneurship;286
033913f3-30a4-4a09-9c33-0e8745b65a41;Johanna Ayrault;Johanna;Ayrault;NA;4
033913f3-30a4-4a09-9c33-0e8745b65a41;Johanna Ayrault;Johanna;Ayrault;Institute for Organization Studies;4
033913f3-30a4-4a09-9c33-0e8745b65a41;Johanna Ayrault;Johanna;Ayrault;Research Institute for Urban Management and Governance (Meyer);4
0342b755-d6be-42b2-8499-00a8f7034978;Nicolas Knotzer;Nicolas;Knotzer;Information Technology in Business;6
0342b755-d6be-42b2-8499-00a8f7034978;Nicolas Knotzer;Nicolas;Knotzer;Wirtschaftsinformatik und Neue Medien (Neumann);6
0342b755-d6be-42b2-8499-00a8f7034978;Nicolas Knotzer;Nicolas;Knotzer;Institute for English Business Communication (Köster);6
0342b755-d6be-42b2-8499-00a8f7034978;Nicolas Knotzer;Nicolas;Knotzer;Institute for Information Systems and Society;6
03487c9f-b2c7-4476-8050-9b5607930e61;Adriana Nikolic;Adriana;Nikolic;Department of Economics (Weiss);3
03487c9f-b2c7-4476-8050-9b5607930e61;Adriana Nikolic;Adriana;Nikolic;Research Institute for International Taxation;3
03487c9f-b2c7-4476-8050-9b5607930e61;Adriana Nikolic;Adriana;Nikolic;Department of Economics;3
034edd9e-eeb9-47e6-a7ee-5399ec097895;Margret Ruprecht;Margret;Ruprecht;Tax oriented Business Management;13
034edd9e-eeb9-47e6-a7ee-5399ec097895;Margret Ruprecht;Margret;Ruprecht;Institute for Austrian and International Tax Law;13
034edd9e-eeb9-47e6-a7ee-5399ec097895;Margret Ruprecht;Margret;Ruprecht;Business Taxation Group;13
034edd9e-eeb9-47e6-a7ee-5399ec097895;Margret Ruprecht;Margret;Ruprecht;Financial Accounting and Auditing Group;13
034edd9e-eeb9-47e6-a7ee-5399ec097895;Margret Ruprecht;Margret;Ruprecht;Research Institute for International Taxation;13
03597c4e-6716-4fac-b4fd-ca14555907b5;Thomas Biruhs;Thomas;Biruhs;Institute for Marketing and Consumer Research;5
0391405b-c2aa-4482-aeac-a9a4c20182bf;Lars Rösler;Lars;Rösler;Institute for Statistics and Mathematics;4
039e0d7e-082d-4ea9-8233-75168dc8f5c8;Kilian Rieder;Kilian;Rieder;Institute for Finance, Banking and Insurance;2
039e62b0-ffde-4f65-b2de-76f6289f91e2;Eva Buchinger;Eva;Buchinger;Institute for Spatial and Social-Ecological Transformations (Essletzbichler);1
03adc26c-8dc2-44f1-99c2-b19f491f32d9;Stephan Fally;Stephan;Fally;Institute for Digital Ecosystems;1
03adc26c-8dc2-44f1-99c2-b19f491f32d9;Stephan Fally;Stephan;Fally;Competence Center for Experimental Research;1
03adc26c-8dc2-44f1-99c2-b19f491f32d9;Stephan Fally;Stephan;Fally;Marketing;1
03d42862-369f-430a-9236-dc63ac1a4472;Katharina Haselsteiner;Katharina;Haselsteiner;Business Taxation Group;22
03d42862-369f-430a-9236-dc63ac1a4472;Katharina Haselsteiner;Katharina;Haselsteiner;Financial Accounting and Auditing Group;22
03d42862-369f-430a-9236-dc63ac1a4472;Katharina Haselsteiner;Katharina;Haselsteiner;Accounting, Taxation and Auditing Group;22
03d42862-369f-430a-9236-dc63ac1a4472;Katharina Haselsteiner;Katharina;Haselsteiner;Finance, Accounting and Statistics;22
03decc6d-734e-4cec-ae2b-e9911ed0802c;Elisabeth Wutzl;Elisabeth;Wutzl;Constitutionals and Administrative Law;10
03decc6d-734e-4cec-ae2b-e9911ed0802c;Elisabeth Wutzl;Elisabeth;Wutzl;Institute for Public Law with a focus on Energy Law;10
03decc6d-734e-4cec-ae2b-e9911ed0802c;Elisabeth Wutzl;Elisabeth;Wutzl;Austrian and European Public Law;10
03decc6d-734e-4cec-ae2b-e9911ed0802c;Elisabeth Wutzl;Elisabeth;Wutzl;Austrian and European Public Law;10
03decc6d-734e-4cec-ae2b-e9911ed0802c;Elisabeth Wutzl;Elisabeth;Wutzl;Vienna University of Economics and Business;10
03e4cb2b-8517-4d73-8ca2-7f61cde717ab;Florian Hanika;Florian;Hanika;Institute for Data, Process and Knowledge Management (AE Polleres);3
03e4cb2b-8517-4d73-8ca2-7f61cde717ab;Florian Hanika;Florian;Hanika;Research Institute for Computational Methods;3
03e7c932-837c-4d82-80de-3ae6f16f42dc;Paul Baldassari;Paul;Baldassari;Institute for Human Resource Management;2
03e7c932-837c-4d82-80de-3ae6f16f42dc;Paul Baldassari;Paul;Baldassari;Interdisciplinary Institute for Management and Organizational Behavior;2
03e7c932-837c-4d82-80de-3ae6f16f42dc;Paul Baldassari;Paul;Baldassari;Competence Center for Empirical Research Methods;2
040415a0-2b18-4679-bd34-40cc10daecbb;Michael Böheim;Michael;Böheim;Department of Economics (Weiss);14
040415a0-2b18-4679-bd34-40cc10daecbb;Michael Böheim;Michael;Böheim;Research Institute for Health Care Management and Economics;14
040415a0-2b18-4679-bd34-40cc10daecbb;Michael Böheim;Michael;Böheim;Department of Economics (Badinger);14
040415a0-2b18-4679-bd34-40cc10daecbb;Michael Böheim;Michael;Böheim;Department of Economics;14
04150696-d729-437c-bbd1-d02498f43eda;Gerhard Trichtl;Gerhard;Trichtl;Institute for Spatial and Social-Ecological Transformations (Essletzbichler);7
04150696-d729-437c-bbd1-d02498f43eda;Gerhard Trichtl;Gerhard;Trichtl;Economic and Social Geography (theoratical and applied);7
04166a8b-a2f9-48f6-ab9d-511b5b6218de;Gabriele Schwarz-Frömel;Gabriele;Schwarz-Frömel;Institute for Romance Languages;1
041ed515-89d4-4d50-ab21-5ebf966e5787;Roland Machal;Roland;Machal;Institute for Complex Networks;1
04217560-9be6-49d6-b529-0a9fa2950549;Marie Louise Brand;Marie Louise;Brand;Institute for Marketing Management;1
043d4fb2-8198-4fd7-bb53-f401d62a4351;Robert Stehrer;Robert;Stehrer;Department of Economics (Oberhofer);22
043d4fb2-8198-4fd7-bb53-f401d62a4351;Robert Stehrer;Robert;Stehrer;Department of Economics (Weiss);22
043d4fb2-8198-4fd7-bb53-f401d62a4351;Robert Stehrer;Robert;Stehrer;Department of Economics (Sausgruber);22
043d4fb2-8198-4fd7-bb53-f401d62a4351;Robert Stehrer;Robert;Stehrer;Research Institute for International Taxation;22
043d4fb2-8198-4fd7-bb53-f401d62a4351;Robert Stehrer;Robert;Stehrer;Department of Economics (Becker);22
043d4fb2-8198-4fd7-bb53-f401d62a4351;Robert Stehrer;Robert;Stehrer;Department of Economics (Badinger);22
043d4fb2-8198-4fd7-bb53-f401d62a4351;Robert Stehrer;Robert;Stehrer;NA;22
043d4fb2-8198-4fd7-bb53-f401d62a4351;Robert Stehrer;Robert;Stehrer;Department of Economics (Crespo Cuaresma);22
043d4fb2-8198-4fd7-bb53-f401d62a4351;Robert Stehrer;Robert;Stehrer;Department of Economics (Rabitsch-Schilcher);22
